"","Province.State","Country.Region","Lat","Long","intercept","coef","int.low","int.upp","coef.low","coef.upp"
"42","Sichuan","China",30.6171,102.7103,3.17580636523649,0.296109788957866,2.97141168602135,3.37172904544592,0.258861690144475,0.33413932190872
"43","Heilongjiang","China",47.862,127.7615,2.85286484873879,0.247270160892705,2.59895155319694,3.09351100764815,0.199897291470956,0.295748521512264
"44","Denmark","Denmark",56.2639,9.5018,1.3204949304619,0.682364026458352,1.0116071130227,1.61480882516647,0.634308315894185,0.732237526410189
"45","Beijing","China",40.1824,116.4142,2.97333092085314,0.260751518840894,2.73794001378072,3.19735117743723,0.217105315029855,0.305375145960127
"46","Shanghai","China",31.202,121.4491,2.84795275792108,0.274336471299586,2.60049264304862,3.08296405123595,0.228928247018432,0.320846209114035
"47","Hebei","China",39.549,116.1306,2.94228850165912,0.265423205395033,2.70428698512295,3.16869942062179,0.221442310239048,0.310410662037489
"48","Fujian","China",26.0789,117.9874,2.99944998446267,0.274206477613042,2.77044767392282,3.21774943679617,0.232067643612389,0.31729203527438
"49","Guangxi","China",23.8298,108.7881,3.13312976209799,0.195790300748027,2.90173450728168,3.35318421140456,0.150863334735332,0.241531944816796
"50","Shaanxi","China",35.1917,108.8701,2.97147531841938,0.243074148540191,2.73153130965866,3.1995124601255,0.198090070586245,0.289040196986195
"51","Yunnan","China",24.974,101.487,2.77205065226559,0.271170073123051,2.51389193828823,3.01666921252298,0.223778339740499,0.319752135680335
"52","Hainan","China",19.1959,109.7453,3.08852062440145,0.151774028381719,2.84190173304709,3.32205703545015,0.102295748852339,0.202037263709139
"53","Guizhou","China",26.8154,106.8748,2.98928967876628,0.195057503007127,2.73999156347755,3.2254709996954,0.146749593891232,0.244305356269075
"54","Tianjin","China",39.3054,117.323,2.59435098178838,0.161893382474458,2.27908343997658,2.88864609534975,0.0997462895887682,0.225360146022956
"55","Shanxi","China",37.5777,112.2922,2.87281310072493,0.20838310312097,2.61151803612398,3.11982146634856,0.158335829500945,0.259500053659571
"56","Gansu","China",37.8099,101.0583,2.71116260617669,0.190981617626324,2.42236674446028,2.9824747257923,0.135153661904308,0.248044889230189
"57","Hong Kong","China",22.3,114.2,2.25209716115684,0.104896009627541,1.85573959770031,2.61517437791959,0.0235911510301526,0.187698625599973
"58","Liaoning","China",41.2956,122.6085,2.9129582473004,0.172565224181748,2.64812387410204,3.16289560732366,0.120454410705099,0.225657021899838
"59","Jilin","China",43.6661,126.1923,2.48235440761294,0.237607530412919,2.17199575918633,2.77303552914219,0.179790600700444,0.297025465708088
"60","","Czechia",49.8175,15.473,2.40074291271431,0.31293192128021,2.10217941248411,2.68173529647026,0.259797757114252,0.36773451656501
"61","Westchester County, NY","US",41.122,-73.7949,3.44930905309648,0.0344636467770701,3.2234394851825,3.66367506736507,-0.0162429217166802,0.0853625967506888
"62","United Kingdom","United Kingdom",55.3781,-3.436,2.29746909784606,0.194117600646152,1.94078933022856,2.6279027998305,0.125969121943632,0.264141668249966
